benchmark,solver,score
data/suite_500/QF_LIA/20180326-Bromberger/v15_problem_2__005.smt2.slack.smt2,cvc5::cvc5_lia_default,0.006
data/suite_500/QF_LIA/20180326-Bromberger/v15_problem_2__005.smt2.slack.smt2,z3::z3_lia_arith,0.009
data/suite_500/QF_LIA/20180326-Bromberger/v15_problem_2__005.smt2.slack.smt2,z3::z3_lia_default,0.008
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__012.smt2.slack.smt2,cvc5::cvc5_lia_arith,0.806
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__012.smt2.slack.smt2,cvc5::cvc5_lia_default,0.807
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__012.smt2.slack.smt2,z3::z3_lia_arith,0.022
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__012.smt2.slack.smt2,z3::z3_lia_default,0.012
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__022.smt2.slack.smt2,cvc5::cvc5_lia_arith,0.145
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__022.smt2.slack.smt2,cvc5::cvc5_lia_default,0.146
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__022.smt2.slack.smt2,z3::z3_lia_arith,0.012
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__022.smt2.slack.smt2,z3::z3_lia_default,0.021
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__027.smt2.slack.smt2,cvc5::cvc5_lia_arith,0.056
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__027.smt2.slack.smt2,cvc5::cvc5_lia_default,0.056
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__027.smt2.slack.smt2,z3::z3_lia_arith,0.081
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__027.smt2.slack.smt2,z3::z3_lia_default,0.087
data/suite_500/QF_LIA/20180326-Bromberger/v25_problem_2__017.smt2.slack.smt2,cvc5::cvc5_lia_arith,0.329
data/suite_500/QF_LIA/20180326-Bromberger/v25_problem_2__017.smt2.slack.smt2,cvc5::cvc5_lia_default,0.33
data/suite_500/QF_LIA/20180326-Bromberger/v25_problem_2__017.smt2.slack.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/v25_problem_2__017.smt2.slack.smt2,z3::z3_lia_default,0.043
data/suite_500/QF_LIA/20180326-Bromberger/v25_problem_2__032.smt2.slack.smt2,cvc5::cvc5_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/v25_problem_2__032.smt2.slack.smt2,cvc5::cvc5_lia_default,120
data/suite_500/QF_LIA/20180326-Bromberger/v25_problem_2__032.smt2.slack.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/v25_problem_2__032.smt2.slack.smt2,z3::z3_lia_default,7.459
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem_2__022.smt2.slack.smt2,cvc5::cvc5_lia_arith,0.742
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem_2__022.smt2.slack.smt2,cvc5::cvc5_lia_default,0.734
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem_2__022.smt2.slack.smt2,z3::z3_lia_arith,0.325
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem_2__022.smt2.slack.smt2,z3::z3_lia_default,10.218
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__025.smt2.slack.smt2,cvc5::cvc5_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__025.smt2.slack.smt2,cvc5::cvc5_lia_default,120
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__025.smt2.slack.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__025.smt2.slack.smt2,z3::z3_lia_default,0.031
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__026.smt2.slack.smt2,cvc5::cvc5_lia_arith,4.363
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__026.smt2.slack.smt2,cvc5::cvc5_lia_default,4.331
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__026.smt2.slack.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__026.smt2.slack.smt2,z3::z3_lia_default,0.258
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__033.smt2.slack.smt2,cvc5::cvc5_lia_arith,2.349
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__033.smt2.slack.smt2,cvc5::cvc5_lia_default,2.316
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__033.smt2.slack.smt2,z3::z3_lia_arith,0.63
data/suite_500/QF_LIA/20180326-Bromberger/v30_problem__033.smt2.slack.smt2,z3::z3_lia_default,7.363
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem_2__018.smt2.slack.smt2,cvc5::cvc5_lia_arith,6.785
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem_2__018.smt2.slack.smt2,cvc5::cvc5_lia_default,6.704
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem_2__018.smt2.slack.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem_2__018.smt2.slack.smt2,z3::z3_lia_default,0.041
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem__014.smt2.slack.smt2,cvc5::cvc5_lia_arith,1.495
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem__014.smt2.slack.smt2,cvc5::cvc5_lia_default,1.434
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem__014.smt2.slack.smt2,z3::z3_lia_arith,0.023
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem__014.smt2.slack.smt2,z3::z3_lia_default,0.033
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem__034.smt2.slack.smt2,cvc5::cvc5_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem__034.smt2.slack.smt2,cvc5::cvc5_lia_default,120
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem__034.smt2.slack.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20180326-Bromberger/v35_problem__034.smt2.slack.smt2,z3::z3_lia_default,8.041
data/suite_500/QF_LIA/20180326-Bromberger/v40_problem_2__022.smt2.slack.smt2,cvc5::cvc5_lia_arith,4.388
data/suite_500/QF_LIA/20180326-Bromberger/v40_problem_2__022.smt2.slack.smt2,cvc5::cvc5_lia_default,4.234
data/suite_500/QF_LIA/20180326-Bromberger/v40_problem_2__022.smt2.slack.smt2,z3::z3_lia_arith,0.02
data/suite_500/QF_LIA/20180326-Bromberger/v40_problem_2__022.smt2.slack.smt2,z3::z3_lia_default,0.019
data/suite_500/QF_LIA/20180326-Bromberger/v45_problem_2__007.smt2.slack.smt2,cvc5::cvc5_lia_arith,1.99
data/suite_500/QF_LIA/20180326-Bromberger/v45_problem_2__007.smt2.slack.smt2,cvc5::cvc5_lia_default,1.901
data/suite_500/QF_LIA/20180326-Bromberger/v45_problem_2__007.smt2.slack.smt2,z3::z3_lia_arith,0.017
data/suite_500/QF_LIA/20180326-Bromberger/v45_problem_2__007.smt2.slack.smt2,z3::z3_lia_default,0.01
data/suite_500/QF_LIA/20180326-Bromberger/v45_problem__015.smt2.slack.smt2,cvc5::cvc5_lia_arith,0.177
data/suite_500/QF_LIA/20180326-Bromberger/v45_problem__015.smt2.slack.smt2,cvc5::cvc5_lia_default,0.179
data/suite_500/QF_LIA/20180326-Bromberger/v45_problem__015.smt2.slack.smt2,z3::z3_lia_arith,0.014
data/suite_500/QF_LIA/20180326-Bromberger/v45_problem__015.smt2.slack.smt2,z3::z3_lia_default,0.02
data/suite_500/QF_LIA/20220307-SMPT/RC-00.smt2,cvc5::cvc5_lia_arith,0.108
data/suite_500/QF_LIA/20220307-SMPT/RC-00.smt2,cvc5::cvc5_lia_default,0.112
data/suite_500/QF_LIA/20220307-SMPT/RC-00.smt2,z3::z3_lia_arith,0.031
data/suite_500/QF_LIA/20220307-SMPT/RC-00.smt2,z3::z3_lia_default,0.032
data/suite_500/QF_LIA/20220307-SMPT/RC-01.smt2,cvc5::cvc5_lia_arith,0.019
data/suite_500/QF_LIA/20220307-SMPT/RC-01.smt2,cvc5::cvc5_lia_default,0.021
data/suite_500/QF_LIA/20220307-SMPT/RC-01.smt2,z3::z3_lia_arith,0.008
data/suite_500/QF_LIA/20220307-SMPT/RC-01.smt2,z3::z3_lia_default,0.014
data/suite_500/QF_LIA/20220307-SMPT/RC-03.smt2,cvc5::cvc5_lia_arith,0.005
data/suite_500/QF_LIA/20220307-SMPT/RC-03.smt2,cvc5::cvc5_lia_default,0.006
data/suite_500/QF_LIA/20220307-SMPT/RC-03.smt2,z3::z3_lia_arith,0.009
data/suite_500/QF_LIA/20220307-SMPT/RC-03.smt2,z3::z3_lia_default,0.021
data/suite_500/QF_LIA/20220307-SMPT/RC-05.smt2,cvc5::cvc5_lia_arith,0.144
data/suite_500/QF_LIA/20220307-SMPT/RC-05.smt2,cvc5::cvc5_lia_default,0.147
data/suite_500/QF_LIA/20220307-SMPT/RC-05.smt2,z3::z3_lia_arith,0.03
data/suite_500/QF_LIA/20220307-SMPT/RC-05.smt2,z3::z3_lia_default,0.037
data/suite_500/QF_LIA/20220307-SMPT/RC-07.smt2,cvc5::cvc5_lia_arith,0.004
data/suite_500/QF_LIA/20220307-SMPT/RC-07.smt2,cvc5::cvc5_lia_default,0.006
data/suite_500/QF_LIA/20220307-SMPT/RC-07.smt2,z3::z3_lia_arith,0.01
data/suite_500/QF_LIA/20220307-SMPT/RC-07.smt2,z3::z3_lia_default,0.02
data/suite_500/QF_LIA/20220307-SMPT/RC-09.smt2,cvc5::cvc5_lia_arith,0.006
data/suite_500/QF_LIA/20220307-SMPT/RC-09.smt2,cvc5::cvc5_lia_default,0.006
data/suite_500/QF_LIA/20220307-SMPT/RC-09.smt2,z3::z3_lia_arith,0.011
data/suite_500/QF_LIA/20220307-SMPT/RC-09.smt2,z3::z3_lia_default,0.016
data/suite_500/QF_LIA/20220307-SMPT/RC-09__3be6fd1cae.smt2,cvc5::cvc5_lia_arith,0.005
data/suite_500/QF_LIA/20220307-SMPT/RC-09__3be6fd1cae.smt2,cvc5::cvc5_lia_default,0.005
data/suite_500/QF_LIA/20220307-SMPT/RC-09__3be6fd1cae.smt2,z3::z3_lia_arith,0.008
data/suite_500/QF_LIA/20220307-SMPT/RC-09__3be6fd1cae.smt2,z3::z3_lia_default,0.008
data/suite_500/QF_LIA/20220307-SMPT/RC-10.smt2,cvc5::cvc5_lia_arith,0.021
data/suite_500/QF_LIA/20220307-SMPT/RC-10.smt2,cvc5::cvc5_lia_default,0.021
data/suite_500/QF_LIA/20220307-SMPT/RC-10.smt2,z3::z3_lia_arith,0.019
data/suite_500/QF_LIA/20220307-SMPT/RC-10.smt2,z3::z3_lia_default,0.017
data/suite_500/QF_LIA/20220307-SMPT/RC-11.smt2,cvc5::cvc5_lia_arith,0.003
data/suite_500/QF_LIA/20220307-SMPT/RC-11.smt2,cvc5::cvc5_lia_default,0.003
data/suite_500/QF_LIA/20220307-SMPT/RC-11.smt2,z3::z3_lia_arith,0.008
data/suite_500/QF_LIA/20220307-SMPT/RC-11.smt2,z3::z3_lia_default,0.006
data/suite_500/QF_LIA/20220307-SMPT/RC-12.smt2,cvc5::cvc5_lia_arith,0.091
data/suite_500/QF_LIA/20220307-SMPT/RC-12.smt2,cvc5::cvc5_lia_default,0.078
data/suite_500/QF_LIA/20220307-SMPT/RC-12.smt2,z3::z3_lia_arith,0.043
data/suite_500/QF_LIA/20220307-SMPT/RC-12.smt2,z3::z3_lia_default,0.043
data/suite_500/QF_LIA/20220307-SMPT/RC-12__1647a8d548.smt2,cvc5::cvc5_lia_arith,7.239
data/suite_500/QF_LIA/20220307-SMPT/RC-12__1647a8d548.smt2,cvc5::cvc5_lia_default,7.295
data/suite_500/QF_LIA/20220307-SMPT/RC-12__1647a8d548.smt2,z3::z3_lia_arith,120
data/suite_500/QF_LIA/20220307-SMPT/RC-12__1647a8d548.smt2,z3::z3_lia_default,120
data/suite_500/QF_LIA/20220307-SMPT/RC-12__eeebeff87c.smt2,cvc5::cvc5_lia_arith,0.005
data/suite_500/QF_LIA/20220307-SMPT/RC-12__eeebeff87c.smt2,cvc5::cvc5_lia_default,0.004
data/suite_500/QF_LIA/20220307-SMPT/RC-12__eeebeff87c.smt2,z3::z3_lia_arith,0.022
data/suite_500/QF_LIA/20220307-SMPT/RC-12__eeebeff87c.smt2,z3::z3_lia_default,0.007
data/suite_500/QF_LIA/20220307-SMPT/RF-01.smt2,cvc5::cvc5_lia_arith,0.109
data/suite_500/QF_LIA/20220307-SMPT/RF-01.smt2,cvc5::cvc5_lia_default,0.109
data/suite_500/QF_LIA/20220307-SMPT/RF-01.smt2,z3::z3_lia_arith,0.031
data/suite_500/QF_LIA/20220307-SMPT/RF-01.smt2,z3::z3_lia_default,0.029
data/suite_500/QF_LIA/20220307-SMPT/RF-04.smt2,cvc5::cvc5_lia_arith,0.004
data/suite_500/QF_LIA/20220307-SMPT/RF-04.smt2,cvc5::cvc5_lia_default,0.004
data/suite_500/QF_LIA/20220307-SMPT/RF-04.smt2,z3::z3_lia_arith,0.009
data/suite_500/QF_LIA/20220307-SMPT/RF-04.smt2,z3::z3_lia_default,0.007
data/suite_500/QF_LIA/20220307-SMPT/RF-04__ca2422e5d4.smt2,cvc5::cvc5_lia_arith,0.003
data/suite_500/QF_LIA/20220307-SMPT/RF-04__ca2422e5d4.smt2,cvc5::cvc5_lia_default,0.004
data/suite_500/QF_LIA/20220307-SMPT/RF-04__ca2422e5d4.smt2,z3::z3_lia_arith,0.007
data/suite_500/QF_LIA/20220307-SMPT/RF-04__ca2422e5d4.smt2,z3::z3_lia_default,0.006
data/suite_500/QF_LIA/20220307-SMPT/RF-05.smt2,cvc5::cvc5_lia_arith,0.1
data/suite_500/QF_LIA/20220307-SMPT/RF-05.smt2,cvc5::cvc5_lia_default,0.099
data/suite_500/QF_LIA/20220307-SMPT/RF-05.smt2,z3::z3_lia_arith,0.048
data/suite_500/QF_LIA/20220307-SMPT/RF-05.smt2,z3::z3_lia_default,0.053
data/suite_500/QF_LIA/20220307-SMPT/RF-06.smt2,cvc5::cvc5_lia_arith,0.003
data/suite_500/QF_LIA/20220307-SMPT/RF-06.smt2,cvc5::cvc5_lia_default,0.004
data/suite_500/QF_LIA/20220307-SMPT/RF-06.smt2,z3::z3_lia_arith,0.007
data/suite_500/QF_LIA/20220307-SMPT/RF-06.smt2,z3::z3_lia_default,0.006
data/suite_500/QF_LIA/20220307-SMPT/RF-08.smt2,cvc5::cvc5_lia_arith,0.028
data/suite_500/QF_LIA/20220307-SMPT/RF-08.smt2,cvc5::cvc5_lia_default,0.028
data/suite_500/QF_LIA/20220307-SMPT/RF-08.smt2,z3::z3_lia_arith,0.023
data/suite_500/QF_LIA/20220307-SMPT/RF-08.smt2,z3::z3_lia_default,0.03
data/suite_500/QF_LIA/20220307-SMPT/RF-09.smt2,cvc5::cvc5_lia_arith,0.003
data/suite_500/QF_LIA/20220307-SMPT/RF-09.smt2,cvc5::cvc5_lia_default,0.004
data/suite_500/QF_LIA/20220307-SMPT/RF-09.smt2,z3::z3_lia_arith,0.009
data/suite_500/QF_LIA/20220307-SMPT/RF-09.smt2,z3::z3_lia_default,0.007
data/suite_500/QF_LIA/20220307-SMPT/RF-10.smt2,cvc5::cvc5_lia_arith,0.006
data/suite_500/QF_LIA/20220307-SMPT/RF-10.smt2,cvc5::cvc5_lia_default,0.007
data/suite_500/QF_LIA/20220307-SMPT/RF-10.smt2,z3::z3_lia_arith,0.009
data/suite_500/QF_LIA/20220307-SMPT/RF-10.smt2,z3::z3_lia_default,0.008
data/suite_500/QF_LIA/20220307-SMPT/RF-11.smt2,cvc5::cvc5_lia_arith,0.018
data/suite_500/QF_LIA/20220307-SMPT/RF-11.smt2,cvc5::cvc5_lia_default,0.018
data/suite_500/QF_LIA/20220307-SMPT/RF-11.smt2,z3::z3_lia_arith,0.013
data/suite_500/QF_LIA/20220307-SMPT/RF-11.smt2,z3::z3_lia_default,0.011
data/suite_500/QF_LIA/20220307-SMPT/RF-11__213a3150a5.smt2,cvc5::cvc5_lia_arith,0.096
data/suite_500/QF_LIA/20220307-SMPT/RF-11__213a3150a5.smt2,cvc5::cvc5_lia_default,0.096
data/suite_500/QF_LIA/20220307-SMPT/RF-11__213a3150a5.smt2,z3::z3_lia_arith,0.039
data/suite_500/QF_LIA/20220307-SMPT/RF-11__213a3150a5.smt2,z3::z3_lia_default,0.041
data/suite_500/QF_LIA/20220307-SMPT/RF-12.smt2,cvc5::cvc5_lia_arith,0.003
data/suite_500/QF_LIA/20220307-SMPT/RF-12.smt2,cvc5::cvc5_lia_default,0.004
data/suite_500/QF_LIA/20220307-SMPT/RF-12.smt2,z3::z3_lia_arith,0.008
data/suite_500/QF_LIA/20220307-SMPT/RF-12.smt2,z3::z3_lia_default,0.007
data/suite_500/QF_LIA/20220307-SMPT/RF-14.smt2,cvc5::cvc5_lia_arith,0.006
data/suite_500/QF_LIA/20220307-SMPT/RF-14.smt2,cvc5::cvc5_lia_default,0.006
data/suite_500/QF_LIA/20220307-SMPT/RF-14.smt2,z3::z3_lia_arith,0.008
data/suite_500/QF_LIA/20220307-SMPT/RF-14.smt2,z3::z3_lia_default,0.008
data/suite_500/QF_LIA/20220307-SMPT/RF-14__76bc7a066c.smt2,cvc5::cvc5_lia_arith,0.012
data/suite_500/QF_LIA/20220307-SMPT/RF-14__76bc7a066c.smt2,cvc5::cvc5_lia_default,0.012
data/suite_500/QF_LIA/20220307-SMPT/RF-14__76bc7a066c.smt2,z3::z3_lia_arith,0.01
data/suite_500/QF_LIA/20220307-SMPT/RF-14__76bc7a066c.smt2,z3::z3_lia_default,0.009
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__004.smt2,cvc5::cvc5_lia_arith,0.111
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__004.smt2,cvc5::cvc5_lia_default,0.113
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__004.smt2,z3::z3_lia_arith,0.009
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__004.smt2,z3::z3_lia_default,0.007
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__004__c5353620d5.smt2,cvc5::cvc5_lia_arith,0.008
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__004__c5353620d5.smt2,cvc5::cvc5_lia_default,0.008
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__004__c5353620d5.smt2,z3::z3_lia_arith,0.01
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__004__c5353620d5.smt2,z3::z3_lia_default,0.009
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__005.smt2,cvc5::cvc5_lia_arith,0.031
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__005.smt2,cvc5::cvc5_lia_default,0.031
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__005.smt2,z3::z3_lia_arith,0.009
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__005.smt2,z3::z3_lia_default,0.009
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__009.smt2,cvc5::cvc5_lia_arith,0.013
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__009.smt2,cvc5::cvc5_lia_default,0.013
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__009.smt2,z3::z3_lia_arith,0.009
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__009.smt2,z3::z3_lia_default,0.008
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__012.smt2,cvc5::cvc5_lia_arith,0.041
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__012.smt2,cvc5::cvc5_lia_default,0.042
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__012.smt2,z3::z3_lia_arith,0.808
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__012.smt2,z3::z3_lia_default,0.009
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__014.smt2,cvc5::cvc5_lia_arith,0.026
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__014.smt2,cvc5::cvc5_lia_default,0.026
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__014.smt2,z3::z3_lia_arith,0.044
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__014.smt2,z3::z3_lia_default,0.011
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__017.smt2,cvc5::cvc5_lia_arith,0.169
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__017.smt2,cvc5::cvc5_lia_default,0.17
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__017.smt2,z3::z3_lia_arith,0.025
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__017.smt2,z3::z3_lia_default,0.04
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__019.smt2,cvc5::cvc5_lia_arith,0.009
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__019.smt2,cvc5::cvc5_lia_default,0.009
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__019.smt2,z3::z3_lia_arith,0.011
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__019.smt2,z3::z3_lia_default,0.011
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__021.smt2,cvc5::cvc5_lia_arith,0.45
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__021.smt2,cvc5::cvc5_lia_default,0.453
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__021.smt2,z3::z3_lia_arith,0.111
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__021.smt2,z3::z3_lia_default,0.06
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__027.smt2,cvc5::cvc5_lia_arith,0.038
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__027.smt2,cvc5::cvc5_lia_default,0.038
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__027.smt2,z3::z3_lia_arith,0.047
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__027.smt2,z3::z3_lia_default,0.218
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__029.smt2,cvc5::cvc5_lia_arith,0.976
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__029.smt2,cvc5::cvc5_lia_default,0.965
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__029.smt2,z3::z3_lia_arith,0.032
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__029.smt2,z3::z3_lia_default,0.254
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__032.smt2,cvc5::cvc5_lia_arith,1.046
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__032.smt2,cvc5::cvc5_lia_default,1.031
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__032.smt2,z3::z3_lia_arith,0.337
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__032.smt2,z3::z3_lia_default,1.197
data/suite_500/QF_LIA/CAV_2009_benchmarks/problem_2__032__2731284ecc.smt2,cvc5::cvc5_lia_arith,0.649
